,Game,FG_G,FGA_G,FG_PCT,RBD_G,AST_G,PTS_G
0,1,12.0,23.0,0.521739130435,2.0,10.0,33.0
1,2,14.5,29.5,0.491525423729,6.5,9.0,40.5
2,3,12.0,24.0,0.5,7.33333333333,8.66666666667,32.0
3,4,11.5,22.0,0.522727272727,7.5,9.25,30.25
4,5,10.8,21.8,0.495412844037,7.0,10.6,28.6
5,6,10.1666666667,21.1666666667,0.48031496063,7.16666666667,10.5,27.1666666667
6,7,10.0,21.0,0.47619047619,7.0,10.8571428571,26.2857142857
7,8,9.625,20.5,0.469512195122,7.5,10.875,25.75
8,9,9.44444444444,20.6666666667,0.456989247312,8.55555555556,10.8888888889,25.2222222222
9,10,9.0,20.6,0.436893203883,8.1,10.3,25.4
10,11,9.36363636364,20.4545454545,0.457777777778,7.72727272727,10.6363636364,26.7272727273
11,12,9.75,20.8333333333,0.468,7.83333333333,10.4166666667,28.0833333333
12,13,9.84615384615,21.4615384615,0.458781362007,7.76923076923,10.1538461538,28.5384615385
13,14,10.0,21.5,0.46511627907,7.57142857143,10.2142857143,28.7142857143
14,15,9.66666666667,20.7333333333,0.466237942122,7.53333333333,10.1333333333,28.1333333333
15,16,9.6875,20.4375,0.474006116208,7.4375,10.3125,28.0625
16,17,9.41176470588,20.0588235294,0.469208211144,7.23529411765,9.94117647059,27.2352941176
17,18,9.5,20.2777777778,0.468493150685,7.44444444444,9.77777777778,27.6111111111
18,19,9.42105263158,20.1578947368,0.467362924282,7.31578947368,9.57894736842,27.4736842105
19,20,9.3,19.8,0.469696969697,7.5,9.6,27.05
20,21,9.09523809524,19.1904761905,0.473945409429,7.38095238095,9.90476190476,26.380952381
21,22,9.04545454545,19.0909090909,0.47380952381,7.31818181818,9.90909090909,26.2272727273
22,23,9.0,19.0869565217,0.4715261959,7.30434782609,9.78260869565,26.1304347826
23,24,9.0,19.3333333333,0.465517241379,7.45833333333,9.58333333333,26.0833333333
24,25,8.84,19.16,0.461377870564,7.28,9.4,25.56
25,26,8.88461538462,19.1153846154,0.464788732394,7.11538461538,9.42307692308,25.6153846154
26,27,8.74074074074,18.8148148148,0.464566929134,6.88888888889,9.48148148148,25.1481481481
27,28,8.82142857143,19.0357142857,0.463414634146,6.82142857143,9.39285714286,25.4285714286
28,29,8.86206896552,19.0344827586,0.465579710145,6.86206896552,9.34482758621,25.3448275862
29,30,8.86666666667,19.1666666667,0.462608695652,6.86666666667,9.3,25.3666666667
30,31,8.93548387097,19.1290322581,0.467116357504,6.93548387097,9.38709677419,25.5161290323
31,32,8.96875,19.21875,0.466666666667,6.9375,9.3125,25.5625
32,33,9.06060606061,19.2121212121,0.471608832808,6.75757575758,9.39393939394,25.8787878788
33,34,8.91176470588,19.0882352941,0.46687211094,6.73529411765,9.32352941176,25.5882352941
34,35,8.82857142857,19.2,0.459821428571,6.77142857143,9.48571428571,25.3428571429
35,36,8.77777777778,19.1388888889,0.458635703919,6.77777777778,9.41666666667,25.1944444444
36,37,8.83783783784,19.2702702703,0.458625525947,6.91891891892,9.35135135135,25.4864864865
37,38,8.78947368421,19.2631578947,0.456284153005,6.97368421053,9.5,25.4736842105
38,39,8.76923076923,19.1538461538,0.457831325301,6.97435897436,9.53846153846,25.3846153846
