,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Stephen Curry 2018,29.55,8.0,18.0,0.444444444444,3.0,9.0,0.333333333333,0.527777777778,3.0,3.0,1.0,5.0,4.0,1.0,22.0,0.569358178054,21.7,9.4,32.6,107.0,120.0
1,2,Stephen Curry 2018,32.3333333333,7.5,17.0,0.441176470588,3.5,10.0,0.35,0.544117647059,6.5,6.5,1.0,4.0,6.0,0.5,25.0,0.629405840886,25.45,7.05,28.6,128.5,119.5
2,3,Stephen Curry 2018,31.5833333333,8.0,17.0,0.470588235294,4.33333333333,10.3333333333,0.41935483871,0.598039215686,8.66666666667,8.66666666667,1.0,4.66666666667,5.0,0.333333333333,29.0,0.69666880205,25.5333333333,7.4,30.7,137.333333333,119.0
3,4,Stephen Curry 2018,31.475,7.75,16.5,0.469696969697,3.75,10.25,0.365853658537,0.583333333333,9.75,9.75,1.0,4.0,5.75,1.25,29.0,0.697450697451,27.425,11.175,32.1,134.75,113.75
4,5,Stephen Curry 2018,32.6833333333,8.0,17.2,0.46511627907,3.8,10.4,0.365384615385,0.575581395349,9.4,9.4,1.0,4.0,5.6,1.6,29.2,0.684289463817,26.0,10.5,31.98,133.0,113.4
5,6,Stephen Curry 2018,33.2694444444,7.83333333333,17.5,0.447619047619,3.66666666667,10.8333333333,0.338461538462,0.552380952381,8.33333333333,8.33333333333,1.0,4.16666666667,6.0,1.66666666667,27.6666666667,0.653543307087,26.4833333333,10.25,30.7333333333,129.666666667,113.333333333
6,7,Stephen Curry 2018,33.5785714286,8.28571428571,17.4285714286,0.475409836066,3.57142857143,10.2857142857,0.347222222222,0.577868852459,7.42857142857,7.57142857143,0.981132075472,4.42857142857,6.28571428571,1.57142857143,27.5714285714,0.664051747867,28.0142857143,11.8428571429,30.5428571429,129.142857143,114.571428571
7,8,Stephen Curry 2018,33.11875,8.375,17.0,0.492647058824,4.0,10.375,0.385542168675,0.610294117647,7.25,7.625,0.950819672131,4.5,6.25,1.625,28.0,0.687791697372,27.725,11.0375,29.975,134.875,114.125
8,9,Stephen Curry 2018,32.9777777778,8.22222222222,16.5555555556,0.496644295302,3.88888888889,9.66666666667,0.402298850575,0.614093959732,6.88888888889,7.22222222222,0.953846153846,4.88888888889,6.11111111111,1.77777777778,27.2222222222,0.689752252252,27.2222222222,11.1333333333,29.3444444444,134.555555556,111.444444444
9,10,Stephen Curry 2018,32.6433333333,8.1,16.3,0.496932515337,4.0,9.7,0.412371134021,0.61963190184,6.5,6.9,0.942028985507,4.4,6.6,1.8,26.7,0.690422010757,29.11,11.62,29.14,134.3,111.0
