,Game,FG_G,FGA_G,FG_PCT,RBD_G,AST_G,PTS_G
0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,5.0,0.0,8.0,1.0,6.0
2,3,2.5,7.5,0.333333333333,7.0,1.5,8.5
3,4,2.33333333333,8.66666666667,0.269230769231,6.0,2.66666666667,8.0
4,5,3.0,9.75,0.307692307692,8.0,2.75,9.5
5,6,4.4,11.4,0.385964912281,8.4,2.8,12.8
6,7,4.83333333333,11.3333333333,0.426470588235,8.0,2.5,13.8333333333
7,8,4.85714285714,10.5714285714,0.459459459459,7.57142857143,2.14285714286,13.5714285714
8,9,5.125,11.25,0.455555555556,7.25,2.375,13.875
9,10,4.77777777778,10.7777777778,0.443298969072,7.66666666667,2.33333333333,12.8888888889
10,11,4.7,10.8,0.435185185185,7.9,2.5,12.8
11,12,4.72727272727,10.9090909091,0.433333333333,7.36363636364,2.27272727273,12.9090909091
12,13,5.08333333333,11.5833333333,0.438848920863,7.5,2.16666666667,13.5833333333
13,14,5.30769230769,11.6153846154,0.456953642384,7.92307692308,2.07692307692,14.1538461538
14,15,5.35714285714,11.7142857143,0.457317073171,7.64285714286,2.07142857143,14.5
15,16,5.33333333333,11.5333333333,0.462427745665,7.53333333333,1.93333333333,14.3333333333
16,17,5.5625,11.75,0.473404255319,7.6875,2.0625,15.0625
17,18,5.47058823529,12.0,0.455882352941,8.0,2.0,14.8823529412
18,19,5.33333333333,11.8888888889,0.448598130841,7.88888888889,2.05555555556,14.5555555556
19,20,5.42105263158,11.8947368421,0.455752212389,7.63157894737,2.15789473684,14.7368421053
20,21,5.5,11.95,0.460251046025,7.5,2.3,14.8
21,22,5.5,11.95,0.460251046025,7.5,2.3,14.8
22,23,5.5,11.95,0.460251046025,7.5,2.3,14.8
23,24,5.52380952381,12.0476190476,0.458498023715,7.52380952381,2.38095238095,14.9523809524
24,25,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
25,26,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
26,27,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
27,28,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
28,29,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
29,30,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
30,31,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
31,32,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
32,33,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
33,34,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
34,35,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
35,36,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
36,37,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
37,38,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
38,39,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
39,40,5.59090909091,12.3181818182,0.453874538745,7.59090909091,2.45454545455,15.2272727273
40,41,5.69565217391,12.5652173913,0.453287197232,7.4347826087,2.5652173913,15.4347826087
41,42,5.625,12.5,0.45,7.5,2.5,15.2916666667
42,43,5.64,12.52,0.450479233227,7.8,2.52,15.36
43,44,5.61538461538,12.4615384615,0.450617283951,7.65384615385,2.42307692308,15.3846153846
44,45,5.62962962963,12.4444444444,0.452380952381,7.88888888889,2.44444444444,15.3703703704
45,46,5.57142857143,12.3928571429,0.449567723343,8.10714285714,2.42857142857,15.5
46,47,5.48275862069,12.1724137931,0.450424929178,8.0,2.44827586207,15.275862069
47,48,5.56666666667,12.3666666667,0.450134770889,7.9,2.36666666667,15.5666666667
48,49,5.61290322581,12.2580645161,0.457894736842,7.8064516129,2.45161290323,15.6451612903
49,50,5.6875,12.34375,0.460759493671,7.6875,2.5,15.90625
50,51,5.66666666667,12.4848484848,0.453883495146,7.60606060606,2.45454545455,15.7575757576
51,52,5.61764705882,12.4705882353,0.450471698113,7.55882352941,2.41176470588,15.5882352941
52,53,5.51428571429,12.4571428571,0.442660550459,7.51428571429,2.45714285714,15.3714285714
53,54,5.38888888889,12.4166666667,0.434004474273,7.47222222222,2.55555555556,15.0555555556
54,55,5.37837837838,12.2702702703,0.438325991189,7.43243243243,2.48648648649,14.972972973
55,56,5.31578947368,12.1052631579,0.439130434783,7.34210526316,2.47368421053,14.7894736842
56,57,5.30769230769,12.1282051282,0.437632135307,7.35897435897,2.48717948718,14.7692307692
57,58,5.35,12.175,0.439425051335,7.35,2.55,14.825
58,59,5.43902439024,12.3170731707,0.441584158416,7.41463414634,2.48780487805,15.0
59,60,5.52380952381,12.2857142857,0.449612403101,7.35714285714,2.45238095238,15.1428571429
60,61,5.62790697674,12.3953488372,0.454033771107,7.37209302326,2.48837209302,15.3720930233
61,62,5.70454545455,12.5681818182,0.453887884268,7.38636363636,2.43181818182,15.4772727273
62,63,5.8,12.7111111111,0.456293706294,7.46666666667,2.4,15.6666666667
63,64,5.86956521739,12.7391304348,0.460750853242,7.5,2.5,15.847826087
64,65,5.87234042553,12.7446808511,0.460767946578,7.46808510638,2.46808510638,15.829787234
65,66,5.8125,12.6666666667,0.458881578947,7.41666666667,2.4375,15.7708333333
