,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
0,1,Chris Paul 2015,37.6,9.0,18.0,0.5,1.0,3.0,0.333333333333,0.527777777778,3.0,7.0,0.428571428571,4.0,7.0,22.0,0.521821631879,39.7,0.0,24.7,123.0,97.0
1,2,Chris Paul 2015,37.3083333333,5.5,13.5,0.407407407407,1.0,4.0,0.25,0.444444444444,5.0,7.5,0.666666666667,3.0,8.5,17.0,0.505952380952,40.5,3.7,20.75,123.0,105.5
2,3,Chris Paul 2015,37.35,5.66666666667,13.0,0.435897435897,1.33333333333,4.33333333333,0.307692307692,0.487179487179,4.0,5.66666666667,0.705882352941,3.66666666667,9.33333333333,16.6666666667,0.537865748709,45.5666666667,2.46666666667,19.0666666667,131.333333333,104.0
3,4,Chris Paul 2015,37.0041666667,5.5,12.75,0.43137254902,1.25,3.75,0.333333333333,0.480392156863,3.5,4.75,0.736842105263,5.25,10.0,15.75,0.530660377358,45.85,5.2,19.35,127.25,103.25
4,5,Chris Paul 2015,35.8166666667,5.6,13.2,0.424242424242,1.2,3.6,0.333333333333,0.469696969697,3.2,4.2,0.761904761905,4.6,10.4,15.6,0.518341307815,49.58,6.4,20.6,123.0,105.2
5,6,Chris Paul 2015,35.9222222222,6.16666666667,14.0,0.440476190476,1.0,3.5,0.285714285714,0.47619047619,3.33333333333,4.16666666667,0.8,4.5,10.5,16.6666666667,0.526315789474,49.9,5.33333333333,21.45,124.666666667,106.0
6,7,Chris Paul 2015,36.3,6.14285714286,13.8571428571,0.443298969072,0.857142857143,3.42857142857,0.25,0.474226804124,2.85714285714,3.57142857143,0.8,5.28571428571,10.2857142857,16.0,0.518518518519,49.0428571429,7.92857142857,21.5142857143,119.285714286,105.0
7,8,Chris Paul 2015,36.25,6.625,13.75,0.481818181818,1.375,3.75,0.366666666667,0.531818181818,3.375,4.125,0.818181818182,5.25,10.125,18.0,0.578220366206,49.5625,8.8625,21.875,125.25,105.25
8,9,Chris Paul 2015,36.3425925926,6.44444444444,13.4444444444,0.479338842975,1.33333333333,3.44444444444,0.387096774194,0.528925619835,3.11111111111,3.88888888889,0.8,4.77777777778,9.77777777778,17.3333333333,0.571847507331,47.4666666667,8.74444444444,21.2444444444,123.666666667,106.555555556
9,10,Chris Paul 2015,35.7283333333,6.6,13.4,0.492537313433,1.2,3.3,0.363636363636,0.537313432836,2.8,3.5,0.8,4.7,9.7,17.2,0.575635876841,47.15,9.2,21.55,123.9,105.5
