Name,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Stephen Curry,28.0,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9
James Harden,26.7,12.2,4.2,16.4,0.265,7.4,1.0,8.4,7.8
LeBron James,25.9,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9
Russell Westbrook,29.1,7.5,3.2,10.6,0.222,8.8,2.2,11.0,7.6
Anthony Davis,30.8,9.9,4.2,14.0,0.274,4.2,3.0,7.1,5.7
Chris Paul,26.0,12.9,3.2,16.1,0.27,7.5,0.0,7.5,6.9
LaMarcus Aldridge,22.8,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4
Marc Gasol,21.7,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6
Blake Griffin,22.8,6.6,2.4,9.0,0.183,3.1,1.0,4.1,3.6
Tim Duncan,22.6,4.9,4.7,9.6,0.207,0.8,4.7,5.5,4.2
Kawhi Leonard,22.0,4.2,4.4,8.6,0.204,2.6,3.5,6.1,4.1
Klay Thompson,20.8,5.7,3.1,8.8,0.172,3.6,-1.0,2.7,2.9
Kevin Durant,27.6,3.8,1.0,4.8,0.252,6.3,-0.2,6.1,1.9
Jimmy Butler,21.3,8.2,3.0,11.2,0.214,4.1,0.6,4.7,4.2
Carmelo Anthony,21.5,2.2,0.6,2.9,0.097,3.5,-2.2,1.4,1.2
